traitName,traitNameField,fieldDescription,classification,origin,shuffle,UKCategory_temp,main_category,main_category_name,classFirst,classBig,class,brainRegion,leftOrRight,dataType,focus,brain_related_traits,value_type,strata,sexed,brain2brain
100012.0.0,100012,Vitamin B6,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100012.1.0,100012,Vitamin B6,14.1,0.053376199,0.001048361,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100012.2.0,100012,Vitamin B6,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100012.3.0,100012,Vitamin B6,14.1,0.040381298,3.66E-06,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100012.4.0,100012,Vitamin B6,14.1,0.047733893,0.000642129,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100013.0.0,100013,Vitamin B12,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100013.1.0,100013,Vitamin B12,14.1,0.025831513,0.001804411,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100013.2.0,100013,Vitamin B12,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100013.3.0,100013,Vitamin B12,14.1,0.020174973,0.001602685,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100013.4.0,100013,Vitamin B12,14.1,0.019640167,7.85E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100014.0.0,100014,Folate,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100014.1.0,100014,Folate,14.1,0.035542667,8.13E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100014.2.0,100014,Folate,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100014.3.0,100014,Folate,14.1,0.067332432,8.02E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100014.4.0,100014,Folate,14.1,0.062476722,0.001248638,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100015.0.0,100015,Vitamin C,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100015.1.0,100015,Vitamin C,14.1,0.05145931,0.001283694,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100015.2.0,100015,Vitamin C,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100015.3.0,100015,Vitamin C,14.1,0.035244437,0.001773309,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100015.4.0,100015,Vitamin C,14.1,0.04471353,9.45E-06,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100016.0.0,100016,Potassium,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100016.1.0,100016,Potassium,14.1,0.025010569,4.48E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100016.2.0,100016,Potassium,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100016.3.0,100016,Potassium,14.1,0.028022328,0.003693109,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100016.4.0,100016,Potassium,14.1,0.016827337,0.002221321,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100017.0.0,100017,Magnesium,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100017.1.0,100017,Magnesium,14.1,0.066681221,0.000302803,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100017.2.0,100017,Magnesium,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100017.3.0,100017,Magnesium,14.1,0.090795361,0.000397284,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100017.4.0,100017,Magnesium,14.1,0.046224573,1.85E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100018.0.0,100018,Retinol,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100018.1.0,100018,Retinol,14.1,0.041107019,0.001860479,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100018.2.0,100018,Retinol,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100018.3.0,100018,Retinol,14.1,0.026405205,0.001087631,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100018.4.0,100018,Retinol,14.1,0.035117133,1.09E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100019.0.0,100019,Carotene,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100019.1.0,100019,Carotene,14.1,0.036103373,0.000661761,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100019.2.0,100019,Carotene,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100019.3.0,100019,Carotene,14.1,0.027743756,0.000113717,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100019.4.0,100019,Carotene,14.1,0.025842992,0.00029588,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100020.0.0,100020,Typical diet yesterday,14.1,,,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100020.1.0,100020,Typical diet yesterday,14.1,0.017638259,0.001962883,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100020.2.0,100020,Typical diet yesterday,14.1,,,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100020.3.0,100020,Typical diet yesterday,14.1,0.008332102,0.000452501,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100020.4.0,100020,Typical diet yesterday,14.1,0.005636288,1.38E-05,,100097,Typical diet yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100021.0.0,100021,Vitamin D,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100021.1.0,100021,Vitamin D,14.1,0.029363671,0.001128721,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100021.2.0,100021,Vitamin D,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100021.3.0,100021,Vitamin D,14.1,0.001433288,3.71E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100021.4.0,100021,Vitamin D,14.1,0.030035831,2.66E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100022.0.0,100022,Alcohol,14.2,,,,100098,Estimated nutrients yesterday,lifestyle,smoking and alcohol,alcohol,,,,,,31,0,0,
100022.1.0,100022,Alcohol,14.2,0.079060459,0.001649563,,100098,Estimated nutrients yesterday,lifestyle,smoking and alcohol,alcohol,,,,,,31,0,0,
100022.2.0,100022,Alcohol,14.2,,,,100098,Estimated nutrients yesterday,lifestyle,smoking and alcohol,alcohol,,,,,,31,0,0,
100022.3.0,100022,Alcohol,14.2,0.106825736,1.64E-05,,100098,Estimated nutrients yesterday,lifestyle,smoking and alcohol,alcohol,,,,,,31,0,0,
100022.4.0,100022,Alcohol,14.2,0.091389953,0.000115543,,100098,Estimated nutrients yesterday,lifestyle,smoking and alcohol,alcohol,,,,,,31,0,0,
100023.0.0,100023,Starch,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100023.1.0,100023,Starch,14.1,0.057940076,0.000913924,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100023.2.0,100023,Starch,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100023.3.0,100023,Starch,14.1,0.042219044,0.000748611,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100023.4.0,100023,Starch,14.1,0.061999361,1.94E-05,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100024.0.0,100024,Calcium,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100024.1.0,100024,Calcium,14.1,0.046593802,0.002060099,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100024.2.0,100024,Calcium,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100024.3.0,100024,Calcium,14.1,0.021959428,0.001004458,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100024.4.0,100024,Calcium,14.1,0.053443712,0.000131484,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100025.0.0,100025,Vitamin E,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100025.1.0,100025,Vitamin E,14.1,0.030172747,0.000479605,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100025.2.0,100025,Vitamin E,14.1,,,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100025.3.0,100025,Vitamin E,14.1,0.036637998,0.000404245,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
100025.4.0,100025,Vitamin E,14.1,0.039459663,0.000347165,,100098,Estimated nutrients yesterday,lifestyle,Diet,Diet,,,,,,31,0,0,
10004.0.0,10004,"Medication for pain relief, constipation, heartburn (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10004.0.1,10004,"Medication for pain relief, constipation, heartburn (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10004.0.2,10004,"Medication for pain relief, constipation, heartburn (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10004.0.3,10004,"Medication for pain relief, constipation, heartburn (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10004.0.4,10004,"Medication for pain relief, constipation, heartburn (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10005.0.0,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10005.0.1,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10005.0.2,10005,"Medication for smoking cessation, constipation, heartburn, allergies (pilot)",,,,,100045,Medication,,,,,,,,,22,0,0,
10006.0.0,10006,Mouth/teeth dental problems (pilot),,,,,100046,Mouth,,,,,,,,,22,0,0,
10006.0.1,10006,Mouth/teeth dental problems (pilot),,,,,100046,Mouth,,,,,,,,,22,0,0,
10006.0.2,10006,Mouth/teeth dental problems (pilot),,,,,100046,Mouth,,,,,,,,,22,0,0,
10006.0.3,10006,Mouth/teeth dental problems (pilot),,,,,100046,Mouth,,,,,,,,,22,0,0,
10007.0.0,10007,Vitamin and mineral supplements (pilot),,,,,100045,Medication,,,,,,,,,22,0,0,
10007.0.1,10007,Vitamin and mineral supplements (pilot),,,,,100045,Medication,,,,,,,,,22,0,0,
10007.0.2,10007,Vitamin and mineral supplements (pilot),,,,,100045,Medication,,,,,,,,,22,0,0,
10007.0.3,10007,Vitamin and mineral supplements (pilot),,,,,100045,Medication,,,,,,,,,22,0,0,
10007.0.4,10007,Vitamin and mineral supplements (pilot),,,,,100045,Medication,,,,,,,,,22,0,0,
10007.0.5,10007,Vitamin and mineral supplements (pilot),,,,,100045,Medication,,,,,,,,,22,0,0,
1001.0.0,1001,Duration of strenuous sports,,,,,100054,Physical activity,,,,,,,,,21,0,0,
1001.1.0,1001,Duration of strenuous sports,,,,,100054,Physical activity,,,,,,,,,21,0,0,
1001.2.0,1001,Duration of strenuous sports,,,,,100054,Physical activity,,,,,,,,,21,0,0,
1001.3.0,1001,Duration of strenuous sports,,,,,100054,Physical activity,,,,,,,,,21,0,0,
100150.0.0,100150,Drinking water intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100150.1.0,100150,Drinking water intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100150.2.0,100150,Drinking water intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100150.3.0,100150,Drinking water intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100150.4.0,100150,Drinking water intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
10016.0.0,10016,Regular use of hands-free device/speakerphone with mobile phone (pilot),,,,,100053,Electronic device use,,,,,,,,,21,0,0,
100160.0.0,100160,Low calorie drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100160.1.0,100160,Low calorie drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100160.2.0,100160,Low calorie drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100160.3.0,100160,Low calorie drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100160.4.0,100160,Low calorie drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100170.0.0,100170,Fizzy drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100170.1.0,100170,Fizzy drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100170.2.0,100170,Fizzy drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100170.3.0,100170,Fizzy drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100170.4.0,100170,Fizzy drink intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100180.0.0,100180,Squash intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100180.1.0,100180,Squash intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100180.2.0,100180,Squash intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100180.3.0,100180,Squash intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100180.4.0,100180,Squash intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100190.0.0,100190,Orange juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100190.1.0,100190,Orange juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100190.2.0,100190,Orange juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100190.3.0,100190,Orange juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100190.4.0,100190,Orange juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100200.0.0,100200,Grapefruit juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100200.1.0,100200,Grapefruit juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100200.2.0,100200,Grapefruit juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100200.3.0,100200,Grapefruit juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100200.4.0,100200,Grapefruit juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100210.0.0,100210,Pure fruit/vegetable juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100210.1.0,100210,Pure fruit/vegetable juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100210.2.0,100210,Pure fruit/vegetable juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100210.3.0,100210,Pure fruit/vegetable juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100210.4.0,100210,Pure fruit/vegetable juice intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100220.0.0,100220,Fruit smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100220.1.0,100220,Fruit smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100220.2.0,100220,Fruit smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100220.3.0,100220,Fruit smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100220.4.0,100220,Fruit smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100230.0.0,100230,Dairy smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100230.1.0,100230,Dairy smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100230.2.0,100230,Dairy smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100230.3.0,100230,Dairy smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100230.4.0,100230,Dairy smoothie intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100240.0.0,100240,Coffee consumed,14.1,,,,100104,Hot/cold beverages yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100240.1.0,100240,Coffee consumed,14.1,0.014829719,0.0004935,,100104,Hot/cold beverages yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100240.2.0,100240,Coffee consumed,14.1,,,,100104,Hot/cold beverages yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100240.3.0,100240,Coffee consumed,14.1,0.021163701,1.90E-05,,100104,Hot/cold beverages yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100240.4.0,100240,Coffee consumed,14.1,0.018725017,0.000336176,,100104,Hot/cold beverages yesterday,lifestyle,Diet,Diet,,,,,,21,0,0,
100250.0.0,100250,Instant coffee intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100250.1.0,100250,Instant coffee intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100250.2.0,100250,Instant coffee intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100250.3.0,100250,Instant coffee intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100250.4.0,100250,Instant coffee intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100260.0.0,100260,Added milk to instant coffee,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100260.1.0,100260,Added milk to instant coffee,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100260.2.0,100260,Added milk to instant coffee,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100260.3.0,100260,Added milk to instant coffee,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100260.4.0,100260,Added milk to instant coffee,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100270.0.0,100270,Filtered coffee intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
100270.1.0,100270,Filtered coffee intake,,,,,100104,Hot/cold beverages yesterday,,,,,,,,,21,0,0,
